Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,080771,Esplugues de Llobregat,3.416,14.283,4.601,3.114,15.175,6.091,6.530,29.458,10.692
2019,170643,Espolla,27,116,60,20,129,64,47,245,124
2019,170656,Esponellà,41,133,50,36,122,56,77,255,106
2019,250827,Espot,17,141,35,25,114,32,42,255,67
2019,080787,"Espunyola, l'",14,83,29,12,80,36,26,163,65
2019,082541,"Esquirol, l'",141,723,241,141,664,271,282,1.387,512
2019,250886,Estamariu,10,32,26,6,28,16,16,60,42
2019,080790,"Estany, l'",33,125,47,19,111,71,52,236,118
2019,250851,Estaràs,8,47,30,10,49,18,18,96,48
2019,250864,Esterri d'Àneu,43,276,45,55,278,75,98,554,120
2019,250870,Esterri de Cardós,5,27,5,5,21,7,10,48,12
2019,430555,Falset,234,902,276,211,867,344,445,1.769,620
2019,170059,"Far d'Empordà, el",51,205,49,51,184,59,102,389,108
2019,250899,Farrera,6,44,15,8,33,10,14,77,25
2019,430568,"Fatarella, la",37,277,144,57,243,183,94,520,327
2019,430574,"Febró, la",0,16,9,0,11,4,0,27,13
2019,081347,Figaró-Montmany,75,379,93,85,363,119,160,742,212
2019,080804,Fígols,2,15,8,1,7,9,3,22,17
2019,259084,Fígols i Alinyà,12,88,45,10,62,35,22,150,80
2019,430580,"Figuera, la",3,41,19,2,25,21,5,66,40
2019,170669,Figueres,4.278,15.825,2.989,3.989,15.394,4.179,8.267,31.219,7.168
2019,430593,Figuerola del Camp,23,109,27,23,99,39,46,208,66
2019,170675,Flaçà,84,356,88,88,343,134,172,699,222
2019,430607,Flix,192,1.102,423,148,1.010,533,340,2.112,956
2019,250925,"Floresta, la",3,56,20,8,37,23,11,93,43
2019,080826,Fogars de la Selva,93,519,136,98,465,140,191,984,276
2019,080811,Fogars de Montclús,44,158,43,47,137,41,91,295,84
2019,170681,Foixà,14,100,36,15,80,52,29,180,88
2019,080832,Folgueroles,241,756,162,208,708,192,449,1.464,354
2019,250931,Fondarella,53,263,71,58,260,79,111,523,150
2019,080847,Fonollosa,110,497,143,100,461,142,210,958,285
2019,170694,Fontanals de Cerdanya,19,152,49,26,149,49,45,301,98
2019,170708,Fontanilles,9,52,19,3,33,23,12,85,42
2019,170715,Fontcoberta,137,478,123,113,495,122,250,973,245
2019,080850,Font-rubí,93,440,155,97,390,152,190,830,307
2019,250946,Foradada,13,68,27,11,41,26,24,109,53
2019,179026,Forallac,128,534,166,114,543,202,242,1.077,368
2019,430614,Forès,1,13,11,1,7,10,2,20,21
2019,170736,Fornells de la Selva,283,868,171,245,894,189,528,1.762,360
2019,170741,Fortià,59,261,69,58,241,75,117,502,144
2019,080863,"Franqueses del Vallès, les",1.962,6.994,1.254,1.835,6.606,1.441,3.797,13.600,2.695
2019,430629,Freginals,18,119,38,11,98,62,29,217,100
2019,250962,"Fuliola, la",99,400,120,105,355,169,204,755,289
2019,250978,Fulleda,0,29,15,1,24,16,1,53,31
2019,080902,Gaià,13,67,17,15,50,13,28,117,30
2019,430635,"Galera, la",50,240,85,38,200,118,88,440,203
2019,080879,Gallifa,10,67,18,5,50,22,15,117,40
2019,430640,Gandesa,243,997,323,212,921,368,455,1.918,691
2019,430653,Garcia,29,167,68,37,142,84,66,309,152
2019,430666,"Garidells, els",12,64,18,10,66,17,22,130,35
2019,080885,"Garriga, la",1.435,5.382,1.170,1.329,5.625,1.573,2.764,11.007,2.743
2019,170754,Garrigàs,37,152,42,29,137,40,66,289,82
2019,170767,Garrigoles,7,59,18,14,44,20,21,103,38
2019,170773,Garriguella,67,261,93,71,271,92,138,532,185
2019,080898,Gavà,3.944,15.360,3.572,3.655,15.654,4.586,7.599,31.014,8.158
2019,250984,Gavet de la Conca,11,79,39,9,67,56,20,146,95
2019,080919,Gelida,697,2.565,516,634,2.459,662,1.331,5.024,1.178
2019,170789,Ger,36,138,48,39,146,41,75,284,89
2019,259123,Gimenells i el Pla de la Font,79,399,117,67,307,142,146,706,259
2019,430672,Ginestar,38,256,109,23,211,116,61,467,225
2019,170792,Girona,8.741,33.551,6.639,8.169,35.463,9.289,16.910,69.014,15.928
2019,080924,Gironella,362,1.480,542,334,1.404,704,696,2.884,1.246
2019,080930,Gisclareny,1,11,3,0,8,2,1,19,5
2019,430688,Godall,24,168,97,31,153,102,55,321,199
2019,250997,Golmés,149,610,158,169,574,180,318,1.184,338
2019,170806,Gombrèn,21,58,17,14,50,28,35,108,45
2019,251001,Gósol,9,79,30,5,51,32,14,130,62
2019,080945,"Granada, la",200,747,145,177,708,180,377,1.455,325
2019,251018,"Granadella, la",48,240,99,32,179,114,80,419,213
2019,080958,Granera,3,38,12,0,11,5,3,49,17
2019,251023,"Granja d'Escarp, la",46,369,99,56,237,129,102,606,228
2019,080961,Granollers,4.773,20.731,4.695,4.514,20.258,6.304,9.287,40.989,10.999
2019,251039,Granyanella,6,50,26,5,43,18,11,93,44
2019,251057,Granyena de les Garrigues,9,48,21,5,29,20,14,77,41
2019,251044,Granyena de Segarra,6,46,24,10,31,25,16,77,49
2019,430691,Gratallops,8,90,27,8,58,38,16,148,65
2019,080977,Gualba,161,511,97,148,461,122,309,972,219
2019,170813,Gualta,38,152,39,26,110,32,64,262,71
2019,080996,Guardiola de Berguedà,47,306,111,56,265,123,103,571,234
2019,430705,"Guiamets, els",9,84,35,11,78,53,20,162,88
2019,170828,Guils de Cerdanya,31,207,50,33,165,51,64,372,101
2019,251095,Guimerà,11,86,43,17,52,56,28,138,99
2019,259031,"Guingueta d'Àneu, la",15,101,43,15,87,36,30,188,79
2019,251109,Guissona,752,2.762,296,641,2.300,385,1.393,5.062,681
2019,251116,Guixers,8,50,26,4,29,17,12,79,43
2019,081000,Gurb,243,933,210,205,862,228,448,1.795,438
2019,430712,Horta de Sant Joan,71,367,164,60,308,179,131,675,343
2019,081017,"Hospitalet de Llobregat, l'",19.068,86.539,22.374,18.036,88.016,30.890,37.104,174.555,53.264
